title,price,offer_price,year,distance,engine_type,fuel_type,horse_power,car_type,wheel_type,transmission,color,city,advert,link
Toyota Camry V (XV30),450000,,2004,181500,3.0,Бензин,186,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097271646-1b525b37/
Toyota Camry V (XV30),350000,,2004,351000,2.4,Бензин,152,седан,передний,механика,серебристый,Михнево,,https://auto.ru/cars/used/sale/toyota/camry/1098077762-72772208/
Toyota Camry V (XV30),460000,Хорошая цена,2004,205000,2.4,Бензин,152,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1099053498-96a28aae/
Toyota Camry V (XV30),425000,,2004,307100,2.4,Бензин,152,седан,передний,механика,серый,Гагарин,,https://auto.ru/cars/used/sale/toyota/camry/1098724158-c5877db3/
Toyota Camry V (XV30),475000,,2005,169000,2.4,Бензин,159,седан,передний,автомат,бежевый,Москва,МАС Моторс Changan,https://auto.ru/cars/used/sale/toyota/camry/1099077526-fa887f4a/
Toyota Camry V (XV30),599000,,2005,153650,2.4,Бензин,152,седан,передний,автомат,серебристый,Балашиха,Автомир Богемия Skoda Балашиха,https://auto.ru/cars/used/sale/toyota/camry/1099152770-fa4c41aa/
Toyota Camry V (XV30),515000,Хорошая цена,2005,126000,2.4,Бензин,152,седан,передний,автомат,чёрный,Тула,,https://auto.ru/cars/used/sale/toyota/camry/1096579988-829a0fcb/
Toyota Camry V (XV30),470000,,2005,370000,2.4,Бензин,159,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097519521-f5fae437/
Toyota Camry V (XV30),450000,Хорошая цена,2005,238400,2.4,Бензин,159,седан,передний,автомат,серый,Раменское,,https://auto.ru/cars/used/sale/toyota/camry/1098100728-5ed6edfd/
Toyota Camry V (XV30),450000,Хорошая цена,2005,193904,2.4,Бензин,152,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098746122-0746d8c4/
Toyota Camry V (XV30),485000,,2005,380000,2.4,Бензин,152,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097392096-6842fd22/
Toyota Camry V (XV30),540000,,2005,222656,3.0,Бензин,186,седан,передний,автомат,бежевый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097278972-7f6b40b0/
Toyota Camry V (XV30),660000,,2005,135000,2.4,Бензин,152,седан,передний,автомат,бежевый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098307006-517fde2b/
Toyota Camry V (XV30),400000,,2005,270000,2.4,Бензин,152,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098297260-1ad9a77a/
Toyota Camry VI (XV40),420000,,2006,264000,3.5,Бензин,277,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1099166352-24311812/
Toyota Camry VI (XV40),630000,,2006,249000,2.4,Бензин,167,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097007604-fd72e157/
Toyota Camry VI (XV40),440000,,2006,381167,3.5,Бензин,277,седан,передний,автомат,серебристый,Калуга,КорсАвто,https://auto.ru/cars/used/sale/toyota/camry/1099021476-d86f49f2/
Toyota Camry VI (XV40),699000,,2006,205566,2.4,Бензин,167,седан,передний,автомат,синий,Балашиха,Тойота Центр Измайлово,https://auto.ru/cars/used/sale/toyota/camry/1097098702-85dcc68d/
Toyota Camry VI (XV40),600000,Хорошая цена,2006,170000,2.4,Бензин,167,седан,передний,механика,серебристый,Щербинка,,https://auto.ru/cars/used/sale/toyota/camry/1098722078-345abc1f/
Toyota Camry VI (XV40),440000,,2006,312000,2.4,Бензин,167,седан,передний,механика,серый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098954138-58bfe576/
Toyota Camry VI (XV40),510000,Хорошая цена,2006,151000,3.5,Бензин,277,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1094939210-12895c59/
Toyota Camry VI (XV40),520000,Хорошая цена,2006,186000,3.5,Бензин,277,седан,передний,автомат,бежевый,Тула,,https://auto.ru/cars/used/sale/toyota/camry/1096943970-99639fab/
Toyota Camry VI (XV40),440000,,2006,149000,3.5,Бензин,277,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097330344-ca43efc8/
Toyota Camry VI (XV40),505000,,2006,121000,3.5,Бензин,277,седан,передний,автомат,зелёный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098180194-a08eb72d/
Toyota Camry VI (XV40),630000,,2006,276799,2.4,Бензин,167,седан,передний,автомат,серый,Домодедово,,https://auto.ru/cars/used/sale/toyota/camry/1098473246-69ef72c2/
Toyota Camry VI (XV40),650000,,2006,199239,2.4,Бензин,167,седан,передний,автомат,чёрный,Королёв,,https://auto.ru/cars/used/sale/toyota/camry/1098729262-cac6d55f/
Toyota Camry VI (XV40),420000,,2006,290000,3.5,Бензин,277,седан,передний,автомат,синий,Люберцы,,https://auto.ru/cars/used/sale/toyota/camry/1098748212-1df39443/
Toyota Camry VI (XV40),550000,Хорошая цена,2006,257000,2.4,Бензин,167,седан,передний,автомат,серебристый,Алексин,,https://auto.ru/cars/used/sale/toyota/camry/1098870658-3de0de5f/
Toyota Camry VI (XV40),660000,Хорошая цена,2006,127000,2.4,Бензин,167,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098944820-c7f9db80/
Toyota Camry VI (XV40),620000,Хорошая цена,2006,190000,2.4,Бензин,167,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098991052-14810ad2/
Toyota Camry VI (XV40),500000,,2006,303476,3.5,Бензин,277,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1099017390-a2cb05e6/
Toyota Camry VI (XV40),500000,Хорошая цена,2006,295000,2.4,Бензин,167,седан,передний,автомат,чёрный,Конаково,,https://auto.ru/cars/used/sale/toyota/camry/1085406252-1fef0545/
Toyota Camry VI (XV40),650000,,2006,155420,2.4,Бензин,167,седан,передний,автомат,серебристый,Подольск,,https://auto.ru/cars/used/sale/toyota/camry/1087806244-59956e65/
Toyota Camry VI (XV40),510000,Хорошая цена,2006,255000,2.4,Бензин,167,седан,передний,автомат,синий,Владимир,,https://auto.ru/cars/used/sale/toyota/camry/1091337134-d1008ec3/
Toyota Camry VI (XV40),599000,,2006,220000,3.5,Бензин,277,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1092308380-4bdb8709/
Toyota Camry VI (XV40),505000,,2006,230000,2.4,Бензин,167,седан,передний,автомат,серый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1092467560-1a683e35/
Toyota Camry VI (XV40),554000,Хорошая цена,2006,190000,2.4,Бензин,167,седан,передний,автомат,чёрный,Владимир,,https://auto.ru/cars/used/sale/toyota/camry/1092586726-361f12d9/
Toyota Camry VI (XV40),600000,Хорошая цена,2006,255000,2.4,Бензин,167,седан,передний,автомат,серый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1093903142-1fa4644d/
Toyota Camry VI (XV40),450000,,2006,320000,3.5,Бензин,277,седан,передний,автомат,чёрный,Владимир,,https://auto.ru/cars/used/sale/toyota/camry/1095015146-272226bc/
Toyota Camry VI (XV40),690000,,2006,170000,2.4,Бензин,167,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1095016942-af10b5f0/
Toyota Camry VI (XV40),420000,,2006,303000,3.5,Бензин,277,седан,передний,автомат,чёрный,Владимир,,https://auto.ru/cars/used/sale/toyota/camry/1095508976-c5688b49/
Toyota Camry VI (XV40),450000,,2006,293000,2.4,Бензин,167,седан,передний,механика,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1095997450-9a605c56/
Toyota Camry VI (XV40),700000,,2006,235000,3.5,Бензин,277,седан,передний,автомат,чёрный,Тула,,https://auto.ru/cars/used/sale/toyota/camry/1097376156-aecdf1dd/
Toyota Camry VI (XV40),525000,Хорошая цена,2006,280000,2.4,Бензин,167,седан,передний,автомат,чёрный,Кашира,,https://auto.ru/cars/used/sale/toyota/camry/1097548578-85b4cfda/
Toyota Camry VI (XV40),650000,,2006,130000,3.5,Бензин,277,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097588344-f8fdbeba/
Toyota Camry VI (XV40),515000,,2006,343000,2.4,Бензин,167,седан,передний,автомат,серый,Щелково,,https://auto.ru/cars/used/sale/toyota/camry/1097600878-ab64dadd/
Toyota Camry VI (XV40),650000,,2006,255000,2.4,Бензин,167,седан,передний,автомат,золотистый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097892126-af66cbf6/
Toyota Camry VI (XV40),620000,Хорошая цена,2006,147695,2.4,Бензин,167,седан,передний,автомат,серый,Тверь,,https://auto.ru/cars/used/sale/toyota/camry/1098026336-9d74a983/
Toyota Camry VI (XV40),450000,Хорошая цена,2006,238900,3.5,Бензин,277,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098354264-a370c8c0/
Toyota Camry VI (XV40),620000,,2006,335000,2.4,Бензин,167,седан,передний,автомат,серый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098866966-fa83dbb9/
Toyota Camry VI (XV40),600000,,2006,287000,3.5,Бензин,277,седан,передний,автомат,золотистый,Щелково,,https://auto.ru/cars/used/sale/toyota/camry/1098997262-868f13a5/
Toyota Camry VI (XV40),485000,,2006,270000,2.4,Бензин,167,седан,передний,автомат,серый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1084932196-40ab9715/
Toyota Camry VI (XV40),535000,Хорошая цена,2006,210000,2.4,Бензин,167,седан,передний,механика,серебристый,Тверь,,https://auto.ru/cars/used/sale/toyota/camry/1086339714-216ad60e/
Toyota Camry VI (XV40),550000,Хорошая цена,2006,220000,2.4,Бензин,167,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1088882078-9bf8642c/
Toyota Camry VI (XV40),585000,Хорошая цена,2006,205000,2.4,Бензин,167,седан,передний,автомат,синий,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1092319612-556fccd7/
Toyota Camry VI (XV40),565000,Хорошая цена,2006,173000,3.5,Бензин,277,седан,передний,автомат,золотистый,Тула,,https://auto.ru/cars/used/sale/toyota/camry/1096329666-15863b6b/
